feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
M_VAL_10	0.08008932515837726	0.1860905496341946	0.1500143027528426	0.002863620987355233	0.4190577985327697	0.10476444963319242
M_VAL_11	0.0021175586917351738	3.198362405981233e-05	0.0	2.8438889405337544e-05	0.0021779812052003236	0.0005444953013000809
M_VAL_12	0.00030502373130866794	1.1727375948668977e-05	0.0	3.6516348196382196e-05	0.0003532674554537191	8.831686386342978e-05
M_VAL_13	0.0006657636775548622	0.0006898223556007182	0.0	0.00019194330270885327	0.0015475293358644337	0.0003868823339661084
M_VAL_14	0.14397669647788097	0.12015415420347383	0.15638701479799835	0.00789909958293116	0.42841696506228427	0.10710424126557107
M_VAL_15	6.446944049132867e-06	1.7032030727593883e-05	0.0	7.673429557817119e-07	2.4246317732508464e-05	6.061579433127116e-06
M_VAL_16	0.001136842007433525	3.300807775491021e-05	0.0	3.373009793563394e-05	0.0012035801831240694	0.00030089504578101735
M_VAL_17	0.0015157341203791842	0.00010434716852614072	0.0	0.0001555391888169673	0.0017756204777222924	0.0004439051194305731
M_VAL_18	0.04740955971775267	0.022735243484117505	0.03915271778590918	0.030244332923895615	0.13954185391167495	0.03488546347791874
M_VAL_19	0.0006302600027581402	2.6690952951434594e-05	0.0	2.3807005216100542e-05	0.0006807579609256753	0.00017018949023141883
M_VAL_20	0.0001658592474512441	9.016616174528336e-05	0.0	5.804788190196443e-05	0.0003140732910984919	7.851832277462297e-05
M_VAL_21	0.00018821944819282088	0.0003339154928627472	0.0	0.00011708637115660466	0.0006392213122121727	0.00015980532805304318
M_VAL_22	0.07024140792316196	7.735785079165255e-05	0.014084960651673757	8.500572908087109e-05	0.08448873215470824	0.02112218303867706
M_VAL_23	1.1709145427111557e-05	2.4522027365208266e-07	0.0	1.7727500117515565e-07	1.2131640701938796e-05	3.032910175484699e-06
M_VAL_24	5.9291480986351996e-05	2.2241897227975028e-05	0.0	2.355673487208705e-05	0.00010509011308641408	2.627252827160352e-05
M_VAL_25	0.0841898089699923	0.020740021463279735	0.17531979175198134	0.005180276102748341	0.28542989828800175	0.07135747457200044
M_VAL_26	0.103237125134301	0.4092119608246526	0.24458540163217507	0.7320424264554416	1.4890769140465703	0.37226922851164257
M_VAL_27	0.0019039870171449948	3.537984226260395e-05	0.0	3.793723137388098e-05	0.0019773040907814796	0.0004943260226953699
M_VAL_28	0.00018708653887444603	7.267696602856517e-05	0.0	5.752892487048051e-05	0.0003172924297734917	7.932310744337292e-05
M_VAL_29	0.0012446704638908192	0.0009767236500813226	0.0026711650016315734	0.00022395676042323857	0.0051165158760269535	0.0012791289690067384
M_VAL_31	4.5540726199649474e-05	3.255479560911109e-05	0.0	3.1592820574026613e-06	8.125480386616323e-05	2.0313700966540807e-05
M_VAL_32	6.113629347496634e-05	2.2865304845857145e-06	0.0	2.28310284293339e-05	8.625385238888596e-05	2.156346309722149e-05
