id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:banker_algorithm---feature:DistinctOperands,154.102,28.0,163.0,6580.26559599999,81.11883625891085,163.0,17.0,80.0,163.0,234.0,263.0,266.0
total of function:banker_algorithm---feature:ProgramLength,887.179,308.0,724.0,264202.7009589992,514.006518401274,724.0,199.0,452.0,724.0,1244.0,1964.0,1964.0
total of function:banker_algorithm---feature:VocabularySize,184.022,58.0,193.0,6600.6675159999895,81.24449221947287,193.0,43.0,110.0,193.0,264.0,293.0,296.0
total of function:banker_algorithm---feature:ProgramVolume,6861.392980000002,1804.26,5496.94,19680750.57945433,4436.299198594965,5496.94,1079.83,3065.17,5496.94,10020.77,16094.5,16123.37
total of function:banker_algorithm---feature:Effort,264432.3093900001,94723.55,155566.01,48841443623.73726,221001.00367133462,155566.01,37615.37,94723.55,155566.01,366638.1,841604.0763999999,858280.03
total of function:banker_algorithm---feature:ProgramLevel,0.028740000000000612,0.03,0.03,5.041240000000042e-05,0.007100169012072911,0.03,0.02,0.02,0.03,0.03,0.04,0.04
total of function:banker_algorithm---feature:ProgramLevel.1,0.028740000000000612,0.03,0.03,5.041240000000042e-05,0.007100169012072911,0.03,0.02,0.02,0.03,0.03,0.04,0.04
total of function:banker_algorithm---feature:DifficultyLevel,36.290159999999865,52.5,33.52,69.51491657440025,8.337560588949279,33.52,25.35,29.03,33.52,43.03,54.44,56.54
total of function:banker_algorithm---feature:TimeToImplement,14690.683570000023,5262.42,8642.56,150745195.25326362,12277.833491836564,8642.56,2089.74,5262.42,8642.56,20368.78,46755.7793,47682.22
total of function:banker_algorithm---feature:BugsDelivered,2.2871309933333315,0.60142,1.8323133333333328,2.1867500643838023,1.478766399531651,1.8323133333333328,0.3599433333333333,1.021723333333333,1.8323133333333328,3.340256666666667,5.364833333333333,5.374456666666667
total of function:banker_algorithm---feature:Sloc,39.64,40.0,40.0,6.350400000000201,2.52000000000004,40.0,22.0,40.0,40.0,40.0,40.0,40.0
total of function:banker_algorithm---feature:DecisionPoint,5.94,6.0,6.0,0.17640000000000566,0.42000000000000676,6.0,3.0,6.0,6.0,6.0,6.0,6.0
total of function:banker_algorithm---feature:GlobalVariables,6.88,7.0,7.0,0.7056000000000223,0.8400000000000133,7.0,1.0,7.0,7.0,7.0,7.0,7.0
total of function:banker_algorithm---feature:If,5.94,6.0,6.0,0.17640000000000566,0.42000000000000676,6.0,3.0,6.0,6.0,6.0,6.0,6.0
total of function:banker_algorithm---feature:Loop,3.96,4.0,4.0,0.07839999999999633,0.2799999999999935,4.0,2.0,4.0,4.0,4.0,4.0,4.0
total of function:banker_algorithm---feature:Goto,0.98,1.0,1.0,0.019599999999999083,0.13999999999999674,1.0,0.0,1.0,1.0,1.0,1.0,1.0
total of function:banker_algorithm---feature:Assignment,15.9,16.0,16.0,0.48999999999999094,0.6999999999999935,16.0,11.0,16.0,16.0,16.0,16.0,16.0
total of function:banker_algorithm---feature:ExitPoint,2.98,3.0,3.0,0.019599999999999083,0.13999999999999674,3.0,2.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:Function,2.98,3.0,3.0,0.019599999999999083,0.13999999999999674,3.0,2.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:FunctionCall,1.98,2.0,2.0,0.019599999999999083,0.13999999999999674,2.0,1.0,2.0,2.0,2.0,2.0,2.0
total of function:banker_algorithm---feature:PointerDereferencing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:CyclomaticComplexity,8.92,9.0,9.0,0.31359999999998533,0.559999999999987,9.0,5.0,9.0,9.0,9.0,9.0,9.0
total of function:banker_algorithm---feature:SCALAR_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:RANGE_SCALAR_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:SCALAR_INDEX_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:RANGE_SCALAR_INDEX_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:ARRAY_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
